FieldLabel,DataType,FieldInternalName,Required,GroupName,Format,Multi,LinkMenu,Choices,Lookup
Visualization Address,Text,SVPVisualizationAddress,No,Viewport Data Visualization,,,,,
Visualization Image,Text,SVPVisualizationImage,No,Viewport Data Visualization,,,,,
Visualization Parameters,Lookup,SVPVisualizationParameters,No,Viewport Data Visualization,,,,,Visualization Parameters|ID
Visualization Metadata,Note,SVPVisualizationMetadata,No,Viewport Data Visualization,,,,,
Visualization Owner,User,SVPVisualizationOwner,No,Viewport Data Visualization,,,,,
Visualization Technology,Choice,SVPVisualizationTechnology,No,Viewport Data Visualization,,,,Tableau|Office|PDF|Image|Video|Others,
Last Updated,DateTime,SVPLastUpdated,No,Viewport Data Visualization,,,,,
Visualization Description,Note,SVPVisualizationDescription,No,Viewport Data Visualization,,,,,
Visualization Training Document,URL,SVPVisualizationTrainingDocument,No,Viewport Data Visualization,,,,,
Associated Business Unit,Choice,SVPBusinessUnit,No,Viewport Data Visualization,,,,USBLT,
Is Featured,Boolean,SVPIsFeatured,No,Viewport Data Visualization,,,,,
Category,Choice,SVPCategory,No,Viewport Data Visualization,,,,LOB|Sales|HR|Corporate|IT|B2B|Other,
Report Height,Number,SVPReportHeight,No,Viewport Data Visualization,,,,,
Report Width,Number,SVPReportWidth,No,Viewport Data Visualization,,,,,
Likes,Note,SVPLikes,No,Viewport Data Visualization,,,,,
Likes Count,Number,SVPLikesCount,No,Viewport Data Visualization,,,,,
Function Area,Choice,SVPFunction,No,Viewport Data Visualization,,,,Sales|Finance|Merchandising,
Frequency,Choice,SVPFrequency,No,Viewport Data Visualization,,,,Daily|Weekly|Monthly|Quaterly|Yearly,
,,,,,,,,,
Visualization Lookup,Lookup,SVPVisualizationLookup,No,Viewport Data Visualization,,,,,Visualizations|ID
Parameter Name,Text,SVPParameterName,No,Viewport Data Visualization,,,,,
Parameter Value,Text,SVPParameterValue,No,Viewport Data Visualization,,,,,
,,,,,,,,,
Region,Choice,SVPRegion,No,Viewport Data Visualization,,,,Global|EMEA|NA|LATAM|APAC,
Division,Text,SVPDivision,No,Viewport Data Visualization,,,,,
Active Country,Text,SVPActiveCountry,No,Viewport Data Visualization,,,,,
,,,,,,,,,
Brand,Text,SVPBrand,No,Viewport Data Visualization,,,,,
Functional Area,Text,SVPFunctionalArea,No,Viewport Data Visualization,,,,,
,,,,,,,,,
Favorite Type,Choice,SVPFavoriteType,No,Viewport Data Visualization,,,,Original|Custom|Parameterized,
Parent Reply Id,Number,SVPParentReplyId,No,Viewport Data Visualization,,,,,
Reply Body,Note,SVPReplyBody,No,Viewport Data Visualization,,,,,
